Review_id,User_id,Product_id,Rating,Review_text,Review_date,Verified_purchase
R3HXWT0LRP0NMF,914,B09DSQXCM8,4.2,Looks durable Charging is fine tooNo complains,2023-07-20,True
R2AJM3LFTLZHFO,251,B09YV4RG4D,4.2,Charging is really fast,2024-08-25,True
R2K9EDOE15QIRJ,47,B01F25X6RQ,4.2, would recommend,2023-11-06,True
R2J3Y1WL29GWDE,598,B0814ZY6FP,4.0,Value for money,2024-09-27,True
RYGGS0M09S3KY,479,B0814ZY6FP,4.0, with extra length👍,2024-10-29,False
R1HDNOG6TO2CCA,884,B0BDRVFDKP,4.0,Product quality is good,2023-07-22,True
R3PHKXYA5AFEOU,284,B0BDYVC5TD,4.0,Good,2025-03-01,True
RWU79XKQ6I1QF,510,B0811VCGL5,3.9,Working good,2024-08-01,True
R207CYDCHJJTCJ,753,B09XJ1LM7R,3.9,Very nice product,2024-01-23,True
R3PCU8XMU173BT,98,B0BMVWKZ8G,3.9,Working well,2023-07-05,True
R3EEUZKKK9J36I,741,B07WG8PDCW,4.2,Good product,2024-02-21,True
R2DMKIBGFKBD6R,898,B08GM5S4CQ,4.2,I bought this cable for Rs.339 worthy product for this price,2023-11-08,True
R1BP4L2HH9TFUP,791,B08MWJTST6,4.2,Bought this instead of original apple,2024-04-11,True
R16PVJEXKV6QZS,216,B08FYB5HHK,4.2,does the work for 150rs,2024-08-22,True
R3KK4GT934ST3I,891,B07JZSG42Y,4.2,bought it for iPad pro 10.5 and it's working flawlessly,2023-06-09,True
RCFHMWUSBIJO,157,B07JZSG42Y,4.2, build quality is ok,2023-05-28,False
R2FRTNIIUFJE1F,193,B085CZ3SR1,4.1,Guys this cable is is best compare of everyone over heat protection,2024-02-25,True
R32ZCIH9AFNJ60,492,B07WDK3ZS2,4.3,Everything is Okay. But packaging is not good feeling like seller gave is used cable.,2023-09-22,True
R2VTSDOOUTSQ5X,580,B07WDK3ZS2,4.3,Original cable,2024-12-19,False
R3E6FZ75Q074KH,460,B078HRR1XV,4.3,I bought this cable at 129. Using this cable for Android auto in my car. Perfectly works without any glitch.,2023-12-21,True
RYQT96J8HPIXE,944,B096YCN3SD,4.3,It provided me turbo charging. I recommend for all Redmi note 10s mobile phones. As it provide turbo charging. I am veri happy with this product.,2023-05-04,True
R2F6GC79OYWUKQ,598,B0814ZY6FP,4.2, didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.,2024-10-17,True
R3QZ19MECGWG9A,509,B0765B3TH7,4.2,The wifi dongle is a simple plug & play device,2023-07-26,True
RGIQEG07R9HS2,230,B09CTWFV5W,4.0,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,2023-07-17,True
R1SMWZQ86XIN8U,188,B09TP5KBN7,4.0,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,2023-08-30,True
R3AAQGS6HP2QUK,636,B00BN5SNF0,4.0, working fine,2024-01-23,True
R8GBOLYUN5UP6,16,B097JQ1J5G,4.3,i think i buy these every 6 months or so. fast charging stops working after a while. probbly something to do with the cable design. the cable gets twisted over time and I suspect that breaks the high capacity wires inside. but i keep buying it because there arent too many options in an L shaped design,2025-02-09,True
R339XJL1GMKHA3,607,B095JQVC7N,4.3, USB,2023-06-13,True
R35T9LXYBSP09G,545,B095JQVC7N,4.3,Good and fast charging,2024-05-01,False
R3HJVYCLYOY554,191,B08WRBG3XW,4.2,long wire,2023-12-16,True
RC89B5IAJUTR5,479,B09G5TSGXV,4.2,i tested it in various charger adapters 33w and 18w it supports fast charging as well.,2023-06-25,True
R13WAEJDI5RS36,800,B0B3RRWSF6,4.2,Ok,2024-12-14,True
RCA1M3W4RIXUR,96,B07WGPBXY9,4.4, glad I didn’t go for cheaper options (not that it’s too costly) just plug and play. Will update if it screws up,2024-06-23,True
R3BKCLL6D7ZLIX,105,B086GVRP63,4.4,The hdmi cable is good to watch movie,2023-10-04,True
R10PB68FRUHT5V,232,B08NW8GHCJ,4.4,All good,2024-07-30,True
RARQYQ8POOFA9,432,B0BDZWMGZ1,4.2,Worth it,2024-08-31,True
R20XIOU25HEX80,265,B0949SBKMP,4.1,Loosing charging cable of apple is costly affair. This wire was great purchase made to correct it,2024-07-18,True
R2X55FA2EEUEYM,466,B09Q8HMKZX,4.1,Worked well for six months that’s it,2023-08-16,True
R1AE3A4NSVM9SC,564,B09V175NP7,4.1,Very good product. Compatible with  iPad 2nd generation  and charging very well. Quality of the product is very good and also works fine. Totally worth for its price.,2024-04-11,True
R1E7GPZ569TBIZ,544,B09V175NP7,4.1,Takes 5-6 hours to charge full.,2023-05-01,False
RQI80JG2WZXNF,743,B01LY9W8AF,4.4,Best charging power . I used this cable on note 8 pro mi. Using 8month also fast working.,2023-10-17,True
R1ZBD2ZB2ZYEWX,332,B09T39K9YL,4.4,,2024-12-29,True
R2ITEDC9KOCY3N,891,B07JZSG42Y,4.4,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61WnvIUaIwL._SY88.jpg,2023-11-07,True
R31OMS6DNMI7M,846,B09Y5MP7C4,4.4,Very good quality and good durability,2024-02-28,True
RHHIZ45VYU5X6,868,B0B9JZW1SQ,4.2,Useless product and useless quality. Display issues within 7 months and service center is not upto the mark. Go for better brands where quality is assured. I would wish if there was option of negative stars.,2023-07-28,True
R2WMW096T9Y0OU,368,B0B9JZW1SQ,4.2,https://m.media-amazon.com/images/I/61spXDbojZL._SY88.jpg,2023-09-19,False
R1SHIIE6M72825,258,B0B9JZW1SQ,4.2,Greater then ever,2024-12-23,False
R2TEINENXTIHT2,167,B07V82W5CN,4.2,Good 👍,2023-05-28,True
R2BP8Y5OJXKJLF,345,B09Y5MP7C4,4.1,Check for offera before buying,2023-04-14,True
R2PQNCTR8TQCT4,457,B08Y57TPDM,4.1,Awesome cable!Charging,2024-08-24,True
R3FI11UEJC9ZOJ,574,B07Q4QV1DL,4.1, data transfer and durability is simply awesome,2023-06-19,True
R3ULCCZZHBNLA4,870,B0BNQMF152,4.1, and there is not a single disconnection issue,2024-06-23,True
RELIQ4H7CYX2Q,506,B09SZ5TWHW,4.1,which I always faced in original mi cable from box. Bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and I never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy,2024-04-01,True
R3ALQNTJN4ER9N,312,B0B9JZW1SQ,4.1, i also have boat earphones that is also awesome..😄,2023-09-10,False
R2PNR69G0BQG2F,818,B07DFYJRQV,4.3,LG was always Good ,2024-10-13,True
R36EHHPAQNSSOF,333,B0B9JZW1SQ,4.3, the OS has lags after about a year of use. This is the best you can get for the price tag it comes with.,2023-07-28,False
R2SQNU7OIOOLHT,580,B0B5KZ3C53,4.5,Just loved it,2024-01-28,True
R1GYK05NN6747O,887,B0B8ZM9RVV,3.7,This connector has provided as a boon for my old Samsung LCD monitor and I am proactively using that monitor as the 2nd screen just if the finishing of the product can be improved then it would be a better purchase option.,2023-07-18,True
R1J21BZ29NGQF9,61,B08TZD7FQN,3.7,Save it purpose well without any issue. I am satisfied,2024-05-20,True
R2WVVS88M7SH18,205,B0B244R4KB,3.7,GO FOR IT,2024-03-29,True
R2MQ3VB8ZTUS48,728,B07H5PBN54,3.7,It’s works properly good product but poor quality,2024-12-18,True
RBJPTKHYQ7G7U,945,B0B9JZW1SQ,3.7,I buy this product after so many reviews. this product is not so much clear. But it get the job done. you can buy to get display only. not so much clear. but still price is very good compare to other products.,2024-09-29,False
R32V7DQLDSKJ99,835,B09H39KTTB,4.3,I am calling 3 times service provider. Not meet my home address.why ? Bad bad,2023-10-12,True
R2OZPGGMUCLSC1,194,B0B9JZW1SQ,4.3,Picture quality is very poor in cables,2024-05-16,False
R3F4T5TRYPTMIG,353,B0978V2CP6,4.0,Worked on iPhone 7 and didn’t work on iPhone XR,2024-04-14,True
R3H6WKG0TA5CGU,358,B09F9YQQ7B,4.0, I use it for my work.,2024-08-20,True
R24MB66WRPSN2A,69,B0BBFJLP21,4.3, loaded with features,2024-01-02,True
R25UU2M1B9BO5X,753,B09XJ1LM7R,4.3, lightweight,2024-02-28,True
R3A3IRV8ZWP1U9,98,B0BMVWKZ8G,4.3, Set top box,2024-08-01,True
R3DYXQZQA6PPHM,119,B00E3DVQFS,4.2,The cable did not come in a box. There is no box. If this was to be shipped without any packaging or branding,2024-08-24,True
R2458DMQ9C2Z4F,247,B08RDWBYCQ,4.2, same should have been mentioned. When we pay for hi quality products,2024-04-15,True
R1XMBPKJ1QP1Q9,479,B09G5TSGXV,4.2,Bought to connect my CP monitor (CCTV) to MI android TV.. .. OK quality at this price,2023-07-16,True
R1L6PX82T6UT6P,323,B09DL9978Y,4.2,I give it a 5 on 5,2024-10-17,True
R2LK4WPIHJ7WDA,275,B0BNXFDTZ2,4.2,Prime and YouTube. It is easily installable and sign-in to start using quickly.8. It is also easy to scan the Setup box channels and start viewing them.Cons:-1. Picture quality is 776p. It's average and not very clear. But it is worth the price range. I'll not complaint as the cost of TV is very affordable and this quality is justified.2. Bluetooth and WiFi connection can disconnect sometimes and cause some issues. I encountered this disconnect issue and had to reset complete device and do the complete sign up again.Rest all is very good and loved this product. I feel it was worth ordering. If you are looking something is medium range and only need it for your old parents and don't have extensive smart use then 100% go for this.If you want to use a lot of smart features and OTT platforms and watch movies,2024-10-05,True
